index,token,entropy_normal,entropy_rain,count_normal,count_rain,diff_count,pearson,spearman,kl_pq,kl_qp,jsd
0,048a45dd2cf54aa5808d8ccc85731d44,7.556822962459696,7.850925510444713,8,12,4,0.555378825488024,0.8122409739366502,0.9199858094270064,0.7179048516708266,0.15858368484236135
1,06be0e3b665c44fa8d17d9f4770bdf9c,7.068184269598479,7.473258117303737,2,3,1,0.8522499692239494,0.7896526001299549,1.250976899419812,1.1271693553578253,0.2077965609031353
2,07fad91090c746ccaa1b2bdb55329e20,7.247764256023188,7.170893166647457,17,13,-4,0.7876039407745287,0.8387269862041027,0.6834519567987151,0.5070298277661769,0.11711695843203401
3,0a0d6b8c2e884134a3b48df43d54c36a,7.688754705733128,7.727327044511769,23,24,1,0.37954656386111,0.8207353499603227,1.4571025725466753,1.2993535802874345,0.23322063899158188
4,0af0feb5b1394b928dd13d648de898f5,7.581219647788097,8.209398552699742,3,50,47,0.21970286047084986,0.7466053864365083,1.4778992594749703,1.348907215363027,0.22816911055604103
5,0bb62a68055249e381b039bf54b0ccf8,7.019238324209724,7.208924203889666,31,29,-2,0.6999247876523995,0.8411804443556707,0.6067276798568659,0.48334762917423446,0.11408389351132996
6,0d0700a2284e477db876c3ee1d864668,8.001362778669439,7.948956825133575,79,10,-69,0.4596120495529924,0.8275395552502143,0.8343075760103335,0.884226990151614,0.16099861896737258
7,1c9a906c40f6417bbe1cea06d6e55501,8.02341457694721,7.951194479690537,5,35,30,0.5743274337618428,0.7971503884525221,0.9676892179377198,0.9148673732535936,0.18188351994136345
8,281b92269fd648d4b52d06ac06ca6d65,8.233887039869618,8.068446198005736,5,40,35,0.4058852859049734,0.7973953171326689,1.1008526738912066,1.0188331714477517,0.19210609253678268
9,372725a4b00e49c78d6d0b1c4a38b6e0,7.656775418288883,7.247764783299449,22,29,7,0.5214489277958796,0.7681605155557696,1.077056087007313,0.8073348567852414,0.16721771405029726
10,38a28a3aaf2647f2a8c0e90e31267bf8,7.886264271301126,8.335383915896136,14,53,39,0.3096217420801516,0.7604720388325968,1.1589932854950862,1.279048563914466,0.2182563219082326
