index,token,entropy_normal,entropy_rain,count_normal,count_rain,diff_count,pearson,spearman,kl_pq,kl_qp,jsd
0,048a45dd2cf54aa5808d8ccc85731d44,10.568712196223238,10.544286417752446,39631,7951,-31680,0.8139663553030481,0.8391376253355355,0.01545167953497772,0.01669846508452766,0.003987432303629751
1,06be0e3b665c44fa8d17d9f4770bdf9c,10.548266484278738,10.562260637885775,35985,39225,3240,0.9340874274428682,0.9277591082738125,0.006991950767884305,0.0077993708599516124,0.0018317249821841264
2,07fad91090c746ccaa1b2bdb55329e20,10.572691326319294,10.576514667169167,39841,39263,-578,0.9160803568180731,0.9311537763098711,0.0034425584738438427,0.0035604271374864724,0.0008731081688925945
3,0a0d6b8c2e884134a3b48df43d54c36a,10.528655915978645,10.481635551944287,539,62,-477,0.7324595423679685,0.8709254498305016,0.030970008256769908,0.04076974603149593,0.008416839340217445
4,0af0feb5b1394b928dd13d648de898f5,10.52671374542222,10.546038935143597,33058,34958,1900,0.875290741973568,0.8690999130286086,0.016599215322886836,0.019418847476968357,0.004420143168888788
5,0bb62a68055249e381b039bf54b0ccf8,10.573719165764295,10.574615044991932,39982,38831,-1151,0.9372665690993772,0.9514584975581636,0.0024660428256924848,0.002573368117571931,0.0006286982285798237
6,0d0700a2284e477db876c3ee1d864668,10.512182130279353,10.52344350957145,30041,32377,2336,0.9266600369813706,0.9180263498253884,0.012892476617360933,0.013254640732788744,0.003237887751054786
7,1c9a906c40f6417bbe1cea06d6e55501,10.510129460756623,10.534016915485772,31245,34814,3569,0.9418397951445405,0.9368238566641999,0.010479986179003753,0.011410109953328852,0.00271835564089027
8,281b92269fd648d4b52d06ac06ca6d65,10.515330545179996,10.540545717355108,31541,35103,3562,0.9385517613052183,0.9329232509511305,0.011046554293666766,0.012120982077589864,0.0028755105663370736
9,372725a4b00e49c78d6d0b1c4a38b6e0,10.557806017444122,10.550043987617705,33803,15379,-18424,0.8581215060941831,0.9110849996662341,0.009776090791159644,0.010518900585332605,0.0025132468836552555
10,38a28a3aaf2647f2a8c0e90e31267bf8,10.504302283853427,10.534444888165874,28896,34549,5653,0.9158322626794706,0.9055013222397351,0.016113051796593836,0.018553894247648174,0.0042751840515941495
